,md
1994-01-01,62.819057
1994-02-01,61.668224
1994-03-01,63.7026
1994-04-01,67.31711
1994-05-01,71.099205
1994-06-01,72.42223
1994-07-01,72.69606
1994-08-01,75.14921
1994-09-01,77.538734
1994-10-01,79.06343
1994-11-01,73.29671
1994-12-01,67.08352
1995-01-01,61.82835
1995-02-01,62.16112
1995-03-01,61.986053
1995-04-01,62.181835
1995-05-01,67.33245
1995-06-01,69.01673
1995-07-01,69.58615
1995-08-01,73.530334
1995-09-01,77.17179
1995-10-01,79.51048
1995-11-01,76.555504
1995-12-01,66.74412
1996-01-01,60.10895
1996-02-01,58.895115
1996-03-01,60.53386
1996-04-01,64.21607
1996-05-01,66.52695
1996-06-01,68.629105
1996-07-01,70.59085
1996-08-01,69.618744
1996-09-01,73.332054
1996-10-01,75.228485
1996-11-01,71.05548
1996-12-01,69.438446
1997-01-01,63.456097
1997-02-01,63.48998
1997-03-01,61.6804
1997-04-01,63.250835
1997-05-01,67.07933
1997-06-01,68.0297
1997-07-01,71.38211
1997-08-01,70.506454
1997-09-01,78.04407
1997-10-01,79.115715
1997-11-01,74.25895
1997-12-01,68.038345
1998-01-01,65.82133
1998-02-01,64.45719
1998-03-01,65.99306
1998-04-01,68.90709
1998-05-01,71.16921
1998-06-01,72.667755
1998-07-01,77.149284
1998-08-01,75.05457
1998-09-01,82.39044
1998-10-01,81.1637
1998-11-01,75.283875
1998-12-01,65.673
1999-01-01,63.72133
1999-02-01,58.47973
1999-03-01,60.93283
1999-04-01,64.03776
1999-05-01,66.128174
1999-06-01,66.47363
1999-07-01,66.45596
1999-08-01,70.71324
1999-09-01,72.46847
1999-10-01,75.827126
1999-11-01,71.69519
1999-12-01,65.48851
2000-01-01,59.01235
2000-02-01,60.551723
2000-03-01,63.607967
2000-04-01,63.95549
2000-05-01,65.72908
2000-06-01,67.52846
2000-07-01,67.64015
2000-08-01,71.86457
2000-09-01,74.0912
2000-10-01,75.2054
2000-11-01,73.35153
2000-12-01,63.241028
2001-01-01,62.814323
2001-02-01,63.540924
2001-03-01,62.062523
2001-04-01,64.47139
2001-05-01,65.202866
2001-06-01,67.80438
2001-07-01,70.693214
2001-08-01,73.10813
2001-09-01,76.02082
2001-10-01,80.52006
2001-11-01,74.37566
2001-12-01,64.81921
2002-01-01,60.26532
2002-02-01,58.58585
2002-03-01,62.12875
2002-04-01,63.231506
2002-05-01,68.105576
2002-06-01,71.36464
2002-07-01,71.92216
2002-08-01,72.034424
2002-09-01,74.64411
2002-10-01,79.646706
2002-11-01,72.51627
2002-12-01,67.356674
2003-01-01,60.69567
2003-02-01,60.242176
2003-03-01,62.11031
2003-04-01,64.74699
2003-05-01,66.552795
2003-06-01,70.41593
2003-07-01,71.05829
2003-08-01,73.54952
2003-09-01,73.274506
2003-10-01,75.75717
2003-11-01,73.219925
2003-12-01,67.98368
2004-01-01,62.617157
2004-02-01,62.33266
2004-03-01,63.75668
2004-04-01,64.52187
2004-05-01,70.32005
2004-06-01,68.74086
2004-07-01,70.94585
2004-08-01,73.12499
2004-09-01,74.70161
2004-10-01,79.69879
2004-11-01,73.36803
2004-12-01,71.527405
2005-01-01,66.01744
2005-02-01,60.638824
2005-03-01,62.96646
2005-04-01,68.982254
2005-05-01,69.463425
2005-06-01,71.60441
2005-07-01,75.34373
2005-08-01,74.34662
2005-09-01,79.01215
2005-10-01,81.146736
2005-11-01,76.26306
2005-12-01,70.71408
2006-01-01,65.19719
2006-02-01,61.03721
2006-03-01,63.154797
2006-04-01,61.930115
2006-05-01,64.732895
2006-06-01,65.74607
2006-07-01,69.36824
2006-08-01,69.85163
2006-09-01,75.30221
2006-10-01,77.00454
2006-11-01,70.88703
2006-12-01,62.558205
2007-01-01,63.379253
2007-02-01,60.06418
2007-03-01,62.69058
2007-04-01,62.810677
2007-05-01,66.15069
2007-06-01,69.51511
2007-07-01,68.15508
2007-08-01,70.775856
2007-09-01,74.28023
2007-10-01,75.31237
2007-11-01,71.2826
2007-12-01,63.98541
2008-01-01,58.560524
2008-02-01,58.760967
2008-03-01,59.48622
2008-04-01,58.95549
2008-05-01,61.06964
2008-06-01,62.192566
2008-07-01,65.33431
2008-08-01,65.92876
2008-09-01,72.97348
2008-10-01,74.67663
2008-11-01,70.72283
2008-12-01,62.725574
2009-01-01,57.223213
2009-02-01,57.50938
2009-03-01,58.08285
2009-04-01,59.90792
2009-05-01,60.869476
2009-06-01,64.02548
2009-07-01,66.08318
2009-08-01,67.49684
2009-09-01,70.546715
2009-10-01,74.48203
2009-11-01,68.06429
2009-12-01,62.38249
2010-01-01,58.37282
2010-02-01,56.588787
2010-03-01,58.16756
2010-04-01,59.45363
2010-05-01,63.34272
2010-06-01,65.351616
2010-07-01,69.01442
2010-08-01,71.791794
2010-09-01,74.17786
2010-10-01,73.75544
2010-11-01,68.856964
2010-12-01,62.903854
2011-01-01,58.500275
2011-02-01,57.658993
2011-03-01,57.672905
2011-04-01,57.33785
2011-05-01,60.48532
2011-06-01,62.08008
2011-07-01,65.11153
2011-08-01,66.25859
2011-09-01,74.78511
2011-10-01,73.4915
2011-11-01,70.41777
2011-12-01,63.9673
2012-01-01,58.91381
2012-02-01,56.074894
2012-03-01,58.516354
2012-04-01,60.11287
2012-05-01,62.791477
2012-06-01,64.203255
2012-07-01,67.13967
2012-08-01,68.44673
2012-09-01,75.865326
2012-10-01,77.13193
2012-11-01,73.96067
2012-12-01,69.041664
2013-01-01,60.622337
2013-02-01,60.030964
2013-03-01,59.51456
2013-04-01,64.56566
2013-05-01,65.56367
2013-06-01,67.08467
2013-07-01,71.73023
2013-08-01,69.734344
2013-09-01,76.600334
2013-10-01,77.56994
2013-11-01,73.11689
2013-12-01,65.79074
2014-01-01,61.24949
2014-02-01,58.19914
2014-03-01,58.27079
2014-04-01,60.664238
2014-05-01,64.44933
2014-06-01,67.28155
2014-07-01,69.71598
2014-08-01,72.90439
2014-09-01,76.11071
2014-10-01,81.00994
2014-11-01,76.19791
2014-12-01,71.107765
2015-01-01,63.161446
