,md
1994-01-01,65.932915
1994-02-01,62.845345
1994-03-01,62.617638
1994-04-01,60.90644
1994-05-01,64.25508
1994-06-01,67.34401
1994-07-01,66.996735
1994-08-01,70.4356
1994-09-01,70.441055
1994-10-01,76.69732
1994-11-01,71.32484
1994-12-01,65.92047
1995-01-01,63.97081
1995-02-01,63.17811
1995-03-01,62.01656
1995-04-01,62.244434
1995-05-01,60.85638
1995-06-01,63.448475
1995-07-01,65.01577
1995-08-01,64.77501
1995-09-01,76.44404
1995-10-01,81.813156
1995-11-01,71.19248
1995-12-01,73.79777
1996-01-01,65.27868
1996-02-01,60.194416
1996-03-01,63.18073
1996-04-01,62.85791
1996-05-01,61.279755
1996-06-01,62.95368
1996-07-01,66.60287
1996-08-01,69.384964
1996-09-01,74.02964
1996-10-01,74.85804
1996-11-01,74.47231
1996-12-01,73.49361
1997-01-01,70.626114
1997-02-01,64.226135
1997-03-01,70.246185
1997-04-01,62.87212
1997-05-01,66.83691
1997-06-01,68.69458
1997-07-01,65.75488
1997-08-01,66.12562
1997-09-01,73.59513
1997-10-01,75.87912
1997-11-01,78.22289
1997-12-01,66.79488
1998-01-01,67.10768
1998-02-01,64.87267
1998-03-01,67.52708
1998-04-01,69.26297
1998-05-01,67.98136
1998-06-01,68.74826
1998-07-01,72.216934
1998-08-01,73.739815
1998-09-01,75.66808
1998-10-01,80.65553
1998-11-01,78.56865
1998-12-01,70.00171
1999-01-01,64.44627
1999-02-01,65.69542
1999-03-01,59.914898
1999-04-01,60.14182
1999-05-01,62.580803
1999-06-01,64.300064
1999-07-01,64.80275
1999-08-01,64.12693
1999-09-01,72.45792
1999-10-01,73.619736
1999-11-01,76.00431
1999-12-01,67.64414
2000-01-01,63.543453
2000-02-01,63.458244
2000-03-01,62.96034
2000-04-01,62.63291
2000-05-01,62.608074
2000-06-01,66.130226
2000-07-01,66.75948
2000-08-01,66.63374
2000-09-01,71.23682
2000-10-01,78.80069
2000-11-01,80.404495
2000-12-01,71.09673
2001-01-01,64.35188
2001-02-01,66.18815
2001-03-01,63.60095
2001-04-01,59.808723
2001-05-01,65.682755
2001-06-01,63.66661
2001-07-01,66.33481
2001-08-01,70.55621
2001-09-01,75.94397
2001-10-01,85.801315
2001-11-01,81.70834
2001-12-01,75.16348
2002-01-01,63.12731
2002-02-01,61.88994
2002-03-01,62.182034
2002-04-01,60.52303
2002-05-01,64.212845
2002-06-01,67.43969
2002-07-01,66.50533
2002-08-01,70.9306
2002-09-01,74.74745
2002-10-01,74.51781
2002-11-01,69.76978
2002-12-01,71.746895
2003-01-01,67.60616
2003-02-01,65.291504
2003-03-01,61.87913
2003-04-01,61.89282
2003-05-01,63.00019
2003-06-01,68.439995
2003-07-01,67.54438
2003-08-01,66.7231
2003-09-01,74.91098
2003-10-01,82.9315
2003-11-01,78.740135
2003-12-01,66.937965
2004-01-01,68.94334
2004-02-01,61.620953
2004-03-01,63.20158
2004-04-01,65.18341
2004-05-01,65.837906
2004-06-01,67.01419
2004-07-01,67.29937
2004-08-01,65.78776
2004-09-01,71.52555
2004-10-01,75.429436
2004-11-01,69.21352
2004-12-01,73.245346
2005-01-01,65.12587
2005-02-01,71.696266
2005-03-01,67.113716
2005-04-01,63.50983
2005-05-01,71.38176
2005-06-01,66.84583
2005-07-01,67.49802
2005-08-01,69.174225
2005-09-01,71.796616
2005-10-01,76.45102
2005-11-01,71.51149
2005-12-01,67.48357
2006-01-01,62.280655
2006-02-01,64.719955
2006-03-01,58.9907
2006-04-01,59.0272
2006-05-01,60.739162
2006-06-01,64.36642
2006-07-01,63.556072
2006-08-01,66.237465
2006-09-01,68.89714
2006-10-01,71.59921
2006-11-01,73.44189
2006-12-01,62.91486
2007-01-01,67.26811
2007-02-01,64.33811
2007-03-01,60.469578
2007-04-01,59.559574
2007-05-01,60.582977
2007-06-01,64.88986
2007-07-01,65.095
2007-08-01,65.12457
2007-09-01,66.153984
2007-10-01,69.54242
2007-11-01,69.64738
2007-12-01,66.37167
2008-01-01,63.834404
2008-02-01,57.563213
2008-03-01,56.401398
2008-04-01,58.20401
2008-05-01,58.80403
2008-06-01,60.12884
2008-07-01,65.49721
2008-08-01,64.03621
2008-09-01,66.296165
2008-10-01,69.26375
2008-11-01,69.22375
2008-12-01,65.16086
2009-01-01,60.046844
2009-02-01,58.678734
2009-03-01,57.945312
2009-04-01,57.97555
2009-05-01,61.439415
2009-06-01,63.390095
2009-07-01,64.47515
2009-08-01,65.871735
2009-09-01,71.90731
2009-10-01,75.9593
2009-11-01,67.49005
2009-12-01,66.89703
2010-01-01,60.74343
2010-02-01,61.86581
2010-03-01,59.90018
2010-04-01,57.097233
2010-05-01,60.773827
2010-06-01,64.3552
2010-07-01,64.88737
2010-08-01,66.56364
2010-09-01,71.96019
2010-10-01,73.46131
2010-11-01,68.04373
2010-12-01,64.45416
2011-01-01,63.08511
2011-02-01,57.391754
2011-03-01,55.76423
2011-04-01,55.776123
2011-05-01,59.17536
2011-06-01,60.632694
2011-07-01,62.736694
2011-08-01,63.401253
2011-09-01,66.63106
2011-10-01,74.639114
2011-11-01,68.26457
2011-12-01,65.221115
2012-01-01,65.556175
2012-02-01,61.961174
2012-03-01,59.182133
2012-04-01,57.936783
2012-05-01,60.29448
2012-06-01,65.0542
2012-07-01,64.41451
2012-08-01,66.0836
2012-09-01,70.73737
2012-10-01,77.64912
2012-11-01,74.23109
2012-12-01,70.08649
2013-01-01,69.543495
2013-02-01,69.808266
2013-03-01,58.747177
2013-04-01,63.80677
